,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,ALZ,CAN,CLD,DIA,HTD,HYP,INJ,LIV,NEP,OTH,PNF,STK,SUI,Total Deaths,"Total Deaths per 1,000","Alzheimers Deaths per 1,000","Cancer Deaths per 1,000","CLRD Deaths per 1,000","Diabetes Deaths per 1,000","Heart Disease Deaths per 1,000","Hypertension Deaths per 1,000","Accidental Deaths per 1,000","Chronic Liver Disease Deaths per 1,000","Nephrotic Diseases Deaths per 1,000","Other Deaths per 1,000","Pneumonia and Influenza Deaths per 1,000","Stroke Deaths per 1,000","Suicide Deaths per 1,000",C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
0,90001,Los Angeles,CA,2016,57942,29520,50.9,28422,49.1,37501,15020,61.9,13594,34323,57935,44211,76.3,13724,8.00713800135962,45.794017675050995,Y,61.0,13B,Las Casas,13.0,Next Wave,1798.0,24554.0,3628.0,3286.0,7879,4202,7717,5,39,7,14,77,9,21,13,4,49,4,12,3,257,4.4354699527113315,0.0862931897414656,0.6730868799834318,0.12081046563805184,0.24162093127610368,1.3289151220185704,0.15532774153463808,0.36243139691415555,0.22436229332781055,0.06903455179317247,0.845673259466363,0.06903455179317247,0.20710365537951747,0.05177591384487937,843,201,1710,2754,31.031031031031034,423.7685961823893,62.61433847640745,56.71188429809119,14.549031790411101,3.468986227606917,29.512270891581235,47.53028890959926,135.9808083946015,72.52079665872769
1,90002,Los Angeles,CA,2016,51826,24877,48.0,26949,52.0,33749,12093,59.3,12543,32520,51826,39186,75.6,12640,8.125497287522604,50.51754068716094,Y,61.0,13B,Las Casas,13.0,Next Wave,1661.0,25168.0,3421.0,3314.0,10927,5072,10701,6,58,12,18,67,6,11,8,8,48,8,19,4,273,5.26762628796357,0.11577200632886968,1.1191293945124068,0.23154401265773936,0.347316018986609,1.2927874040057115,0.11577200632886968,0.2122486782695944,0.15436267510515958,0.15436267510515958,0.9261760506309574,0.15436267510515958,0.366611353374754,0.07718133755257979,357,767,1059,2183,32.049550418708755,485.62497588083204,66.00933894184386,63.94473816231236,6.888434376567746,14.799521475707175,20.433759117045497,42.12171496932042,210.84011885925983,97.86593601667117
2,90003,Los Angeles,CA,2016,70208,33953,48.4,36255,51.6,45068,16965,61.3,16496,31878,70208,52204,74.4,18004,7.97254004576659,46.90675057208239,Y,61.0,13B,Las Casas,13.0,Next Wave,2111.0,32061.0,4610.0,4648.0,12814,6073,12512,7,71,11,12,101,7,24,10,6,80,9,18,4,360,5.127620783956244,0.09970373746581586,1.0112807657247038,0.15667730173199634,0.1709206927985415,1.4385824977210573,0.09970373746581586,0.341841385597083,0.14243391066545122,0.08546034639927075,1.1394712853236098,0.12819051959890612,0.25638103919781224,0.05697356426618049,1329,259,2440,4028,30.067798541476755,456.6573609845032,65.66203281677302,66.20328167730173,18.92946672743847,3.689038286235187,34.7538742023701,57.372379216043754,182.51481312670919,86.50011394712853
3,90004,Los Angeles,CA,2016,63095,31141,49.4,31954,50.6,45646,21540,63.7,22431,43180,63059,47278,75.0,15781,4.23801870251315,28.200175336060788,Y,60.0,13A,International Marketplace,13.0,Next Wave,2115.0,15820.0,2751.0,2639.0,7149,3987,6832,14,77,14,9,73,9,13,5,5,28,22,15,5,289,4.5803946429986535,0.22188762976464063,1.2203819637055233,0.22188762976464063,0.1426420477058404,1.1569854980584833,0.1426420477058404,0.20603851335288056,0.07924558205880022,0.07924558205880022,0.44377525952928126,0.348680561058721,0.23773674617640067,0.07924558205880022,3582,1707,5002,10291,33.520881210872496,250.73302163404392,43.60091924875188,41.82581821063476,56.77153498692448,27.054441714874393,79.27728029162374,163.10325699342263,113.30533322767255,63.190427133687294
4,90005,Los Angeles,CA,2016,39338,19592,49.8,19746,50.2,28125,14861,70.1,16086,31485,39338,26087,66.3,13251,7.225922592259227,57.77587758775878,Y,62.0,13C,NeWest Residents,13.0,Next Wave,1107.0,8650.0,1579.0,1488.0,4292,2342,4188,8,42,5,7,49,4,6,2,0,26,10,9,2,170,4.32152117545376,0.20336570237429458,1.0676699374650467,0.12710356398393413,0.17794498957750776,1.2456149270425543,0.10168285118714729,0.15252427678072092,0.050841425593573644,0.0,0.6609385327164573,0.25420712796786826,0.22878641517108142,0.050841425593573644,439,1403,1434,3276,28.14072906604301,219.889165692206,40.13930550612639,37.82602064161879,11.159692917789414,35.665260053891906,36.4533021505923,83.27825512227363,109.10569932380903,59.535309370074735
5,90006,Los Angeles,CA,2016,61230,30807,50.3,30423,49.7,42286,21713,72.0,19474,31993,60753,39321,64.7,21432,7.280192307692308,52.82423076923077,Y,60.0,13A,International Marketplace,13.0,Next Wave,1894.0,16855.0,3081.0,2934.0,6318,3646,6097,12,55,10,14,79,4,15,11,5,41,17,18,6,287,4.68724481463335,0.19598236158745713,0.8982524906091784,0.16331863465621427,0.2286460885187,1.2902172137840928,0.06532745386248572,0.2449779519843214,0.1796504981218357,0.08165931732810713,0.6696064020904785,0.27764167891556424,0.2939735423811857,0.09799118079372857,3317,1874,9548,14739,30.932549403886984,275.27355871304917,50.31847133757962,47.91768740813327,54.172791115466275,30.605912134574556,155.9366323697534,240.71533561979422,103.18471337579618,59.545974195655724
6,90007,Los Angeles,CA,2016,41979,20802,49.6,21177,50.4,33197,7918,40.0,11672,22485,41979,35434,84.4,6545,8.546607482561827,71.90509406045234,Y,67.0,14C,Dorms to Diplomas,13.0,Next Wave,1123.0,11662.0,1618.0,1785.0,4643,2436,4526,2,34,3,8,24,3,10,1,3,29,6,13,1,137,3.263536530169847,0.047642869053574406,0.8099287739107649,0.07146430358036161,0.19057147621429762,0.5717144286428929,0.07146430358036161,0.23821434526787205,0.023821434526787203,0.07146430358036161,0.6908216012768289,0.14292860716072323,0.30967864884823365,0.023821434526787203,1311,1234,3777,6322,26.75147097358203,277.80556945139233,38.54308106434169,42.52126063031516,31.22990066461802,29.395650206055407,89.97355820767527,150.5991090783487,110.60292050787298,58.02901450725363
7,90008,Los Angeles,CA,2016,32060,14038,43.8,18022,56.2,21437,8830,60.1,14590,36134,32052,27053,84.4,4999,6.761102603369067,49.13450740173558,N,51.0,11A,City Strivers,13.0,Next Wave,1709.0,15038.0,2145.0,2352.0,10751,4351,10504,18,74,13,9,86,8,15,5,8,45,10,19,4,314,9.794135995009357,0.561447286338116,2.30817217716781,0.4054897067997505,0.280723643169058,2.682470368059888,0.24953212726138493,0.4678727386150967,0.15595757953836556,0.24953212726138493,1.4036182158452901,0.3119151590767311,0.5926388022457891,0.12476606363069247,4378,699,7294,12371,53.30630068621335,469.05801621958824,66.90580162195883,73.36244541484716,136.5564566437929,21.802869619463507,227.5109170305677,385.8702432938241,335.33998752339363,135.7142857142857
8,90010,Los Angeles,CA,2016,3524,1773,50.3,1751,49.7,2821,1465,70.4,2041,47569,3524,2667,75.7,857,6.9340909090909095,57.69090909090909,Y,12.0,3C,Trendsetters,3.0,Uptown Individuals,99.0,910.0,168.0,139.0,634,339,615,2,4,1,1,9,0,0,0,1,2,1,0,1,22,6.242905788876277,0.5675368898978433,1.1350737797956867,0.28376844494892167,0.28376844494892167,2.553916004540295,0.0,0.0,0.0,0.28376844494892167,0.5675368898978433,0.28376844494892167,0.0,0.28376844494892167,2890,1085,2156,6131,28.093076049943246,258.2292849035187,47.67309875141884,39.44381384790011,820.0908059023837,307.88876276958007,611.804767309875,1739.7843359818387,179.90919409761636,96.19750283768445
9,90011,Los Angeles,CA,2016,104762,52020,49.7,52742,50.3,69304,28449,64.1,23258,31684,104611,72864,69.7,31747,7.866388930218718,42.85121261717006,Y,61.0,13B,Las Casas,13.0,Next Wave,2924.0,37729.0,6046.0,5520.0,12188,6520,11887,14,106,14,17,109,7,29,29,9,65,16,15,4,434,4.142723506614994,0.13363624214887077,1.0118172619843073,0.13363624214887077,0.16227257975220022,1.0404535995876367,0.06681812107443538,0.27681793016551803,0.27681793016551803,0.08590901280998836,0.6204539814054714,0.15272713388442374,0.14318168801664724,0.038181783471105936,1334,691,3723,5748,27.91088371737844,360.14012714533897,57.71176571657662,52.69086119012619,12.733624787613829,6.595903094633551,35.53769496573185,54.86722284797923,116.33989423645978,62.23630705790267
