GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US90292,90292,ZCTA5 90292,22482,1371
8600000US90293,90293,ZCTA5 90293,12649,797
8600000US90301,90301,ZCTA5 90301,36429,1170
8600000US90302,90302,ZCTA5 90302,31064,1078
8600000US90303,90303,ZCTA5 90303,25134,813
8600000US90304,90304,ZCTA5 90304,27008,1149
8600000US90305,90305,ZCTA5 90305,15777,1193
8600000US90401,90401,ZCTA5 90401,7621,549
8600000US90402,90402,ZCTA5 90402,11410,639
8600000US90403,90403,ZCTA5 90403,24539,795
8600000US90404,90404,ZCTA5 90404,22201,740
8600000US90405,90405,ZCTA5 90405,28861,870
8600000US90501,90501,ZCTA5 90501,43405,1311
8600000US90502,90502,ZCTA5 90502,17855,961
8600000US90503,90503,ZCTA5 90503,44562,894
8600000US90504,90504,ZCTA5 90504,33609,934
8600000US90505,90505,ZCTA5 90505,37242,845
8600000US90506,90506,ZCTA5 90506,0,12
8600000US90601,90601,ZCTA5 90601,34169,1337
8600000US90602,90602,ZCTA5 90602,26778,1013
8600000US90603,90603,ZCTA5 90603,20325,760
8600000US90604,90604,ZCTA5 90604,41371,1460
8600000US90605,90605,ZCTA5 90605,41305,1220
8600000US90606,90606,ZCTA5 90606,32499,1245
8600000US90620,90620,ZCTA5 90620,46550,1104
8600000US90621,90621,ZCTA5 90621,35168,1090
8600000US90623,90623,ZCTA5 90623,15886,128
8600000US90630,90630,ZCTA5 90630,49093,179
8600000US90631,90631,ZCTA5 90631,68971,467
8600000US90638,90638,ZCTA5 90638,49876,402
8600000US90640,90640,ZCTA5 90640,63461,150
8600000US90650,90650,ZCTA5 90650,106360,52
8600000US90660,90660,ZCTA5 90660,63684,72
8600000US90670,90670,ZCTA5 90670,16266,236
8600000US90680,90680,ZCTA5 90680,30373,890
8600000US90701,90701,ZCTA5 90701,16842,88
8600000US90703,90703,ZCTA5 90703,50442,440
8600000US90704,90704,ZCTA5 90704,3912,69
8600000US90706,90706,ZCTA5 90706,77687,52
8600000US90710,90710,ZCTA5 90710,27914,933
8600000US90712,90712,ZCTA5 90712,31722,901
8600000US90713,90713,ZCTA5 90713,28833,842
8600000US90715,90715,ZCTA5 90715,20064,707
8600000US90716,90716,ZCTA5 90716,14383,68
8600000US90717,90717,ZCTA5 90717,21658,415
8600000US90720,90720,ZCTA5 90720,22413,522
