Zip,ADI_STATERNK,ADI_NATRANK
90001,8.00713800135962,45.79401767505099
90002,8.125497287522604,50.51754068716094
90003,7.97254004576659,46.90675057208238
90004,4.23801870251315,28.200175336060784
90005,7.225922592259226,57.77587758775878
90006,7.280192307692308,52.824230769230766
90007,8.546607482561827,71.90509406045234
90008,6.761102603369066,49.13450740173558
90010,6.9340909090909095,57.69090909090909
90011,7.866388930218718,42.85121261717006
90012,7.638192267502612,58.49085684430512
90013,7.689364957918898,63.93420045906657
90014,5.686553873552983,31.868655387355297
90015,6.511836085140243,47.34453948677143
90016,6.242170742170742,32.31638781638782
90017,6.6722222222222225,50.229166666666664
90018,6.849652699977594,45.72484875644186
90019,3.8895733173076925,17.49834735576923
90020,7.996237337192475,67.47467438494935
90021,7.1038899430740035,53.804554079696395
90022,6.987280701754386,35.50021929824561
90023,7.571216065451841,43.864261807363334
90024,5.016194968553459,39.588050314465406
90025,2.663534293385404,7.706492555528436
90026,4.425531914893617,19.018599408200647
90027,6.094675665541807,46.88638920134983
90028,7.29896443043674,61.20733903647006
90029,7.227482892546699,55.33715553911596
90031,7.0419834710743805,35.73884297520661
90032,6.40205223880597,28.252487562189053
90033,7.318511510564491,42.36644591611479
90034,4.514308638673442,23.346349291254345
90035,1.6854771784232365,4.155809128630706
90036,6.438709677419355,50.80403225806452
90037,8.019833285426847,48.53578614544409
90038,6.250395694840139,44.11554289332067
90039,3.1192842942345926,9.845593108018555
90040,6.272159800249688,29.312734082397004
90041,2.8861052631578947,8.321473684210526
90042,5.242530073729142,20.6755917733799
90043,5.356042761369813,23.726218517847435
90044,7.655417406749556,42.24031971580817
90045,3.3287540545697385,14.880366342301087
90046,5.9543697793292605,49.135145243735195
90047,6.027796921663221,28.428899609464736
90048,1.5648409893992934,5.868021201413428
90049,1.521614268440145,3.3121221281741233
90056,2.7716150081566067,8.47226753670473
90057,9.308266932270916,85.3769920318725
90058,9.439125910509885,87.81217481789803
90059,7.522058823529412,43.38278546712803
90061,7.5889145496535795,41.775981524249424
90062,7.080598255089323,34.992937266306605
90063,7.061564059900166,34.85357737104825
90064,2.0026208026208026,4.691728091728092
90065,4.755949086884339,20.342003320420588
90066,2.997082117548979,11.10685007642073
