xYear,State,County,Zip,Schedule_Group,rundatetime,RxCount,Population
2015,CA,Los Angeles,90086,2,06MAY2016:01:08:29,23,
2015,CA,Los Angeles,90087,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90088,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90089,2,01APR2018:11:21:17,5281,"3,217"
2015,CA,Los Angeles,90090,2,01APR2018:11:21:17,0,0
2015,CA,Los Angeles,90091,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90093,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90094,2,01APR2018:11:21:17,990,"5,464"
2015,CA,Los Angeles,90095,2,01APR2018:11:21:17,60998,3
2015,CA,Los Angeles,90096,2,06MAY2016:01:08:29,4,
2015,CA,Los Angeles,90099,2,06MAY2016:01:08:29,10,
2015,CA,Los Angeles,90101,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90189,2,06MAY2016:01:08:29,164,
2015,CA,Los Angeles,90201,2,01APR2018:11:21:17,7380,"101,279"
2015,CA,Los Angeles,90202,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90209,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90210,2,01APR2018:11:21:17,41251,"21,741"
2015,CA,Los Angeles,90211,2,01APR2018:11:21:17,69747,"8,434"
2015,CA,Los Angeles,90212,2,01APR2018:11:21:17,44797,"11,555"
2015,CA,Los Angeles,90213,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90220,2,01APR2018:11:21:17,3513,"49,328"
2015,CA,Los Angeles,90221,2,01APR2018:11:21:17,1481,"53,704"
2015,CA,Los Angeles,90222,2,01APR2018:11:21:17,224,"31,869"
2015,CA,Los Angeles,90223,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90224,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90230,2,01APR2018:11:21:17,10832,"31,766"
2015,CA,Los Angeles,90231,2,06MAY2016:01:08:29,127,
2015,CA,Los Angeles,90232,2,01APR2018:11:21:17,13502,"15,149"
2015,CA,Los Angeles,90233,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90239,2,06MAY2016:01:08:29,3,
2015,CA,Los Angeles,90240,2,01APR2018:11:21:17,5493,"25,876"
2015,CA,Los Angeles,90241,2,01APR2018:11:21:17,33784,"42,399"
2015,CA,Los Angeles,90242,2,01APR2018:11:21:17,62471,"43,497"
2015,CA,Los Angeles,90245,2,01APR2018:11:21:17,2291,"16,654"
2015,CA,Los Angeles,90247,2,01APR2018:11:21:17,6867,"47,487"
2015,CA,Los Angeles,90248,2,01APR2018:11:21:17,11181,"9,947"
2015,CA,Los Angeles,90249,2,01APR2018:11:21:17,5051,"26,669"
2015,CA,Los Angeles,90250,2,01APR2018:11:21:17,14040,"93,193"
2015,CA,Los Angeles,90251,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90254,2,01APR2018:11:21:17,8093,"19,506"
2015,CA,Los Angeles,90255,2,01APR2018:11:21:17,7970,"75,066"
2015,CA,Los Angeles,90260,2,01APR2018:11:21:17,9654,"34,924"
2015,CA,Los Angeles,90261,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90262,2,01APR2018:11:21:17,12569,"69,745"
2015,CA,Los Angeles,90263,2,01APR2018:11:21:17,668,"1,612"
2015,CA,Los Angeles,90264,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90265,2,01APR2018:11:21:17,7222,"18,116"
2015,CA,Los Angeles,90266,2,01APR2018:11:21:17,26632,"35,135"
2015,CA,Los Angeles,90267,2,06MAY2016:01:08:29,244,
2015,CA,Los Angeles,90270,2,01APR2018:11:21:17,1820,"27,372"
2015,CA,Los Angeles,90272,2,01APR2018:11:21:17,12613,"22,986"
2015,CA,Los Angeles,90274,2,01APR2018:11:21:17,13726,"25,209"
2015,CA,Los Angeles,90275,2,01APR2018:11:21:17,6565,"41,804"
2015,CA,Los Angeles,90277,2,01APR2018:11:21:17,29271,"35,293"
2015,CA,Los Angeles,90278,2,01APR2018:11:21:17,7929,"40,071"
2015,CA,Los Angeles,90280,2,01APR2018:11:21:17,2975,"94,396"
2015,CA,Los Angeles,90290,2,01APR2018:11:21:17,561,"6,368"
2015,CA,Los Angeles,90291,2,01APR2018:11:21:17,3247,"28,341"
2015,CA,Los Angeles,90292,2,01APR2018:11:21:17,28674,"21,576"
2015,CA,Los Angeles,90293,2,01APR2018:11:21:17,605,"12,132"
2015,CA,Los Angeles,90294,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90295,2,06MAY2016:01:08:29,7,
2015,CA,Los Angeles,90296,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90301,2,01APR2018:11:21:17,24889,"36,568"
2015,CA,Los Angeles,90302,2,01APR2018:11:21:17,264,"29,415"
2015,CA,Los Angeles,90303,2,01APR2018:11:21:17,427,"26,176"
2015,CA,Los Angeles,90304,2,01APR2018:11:21:17,796,"28,210"
2015,CA,Los Angeles,90305,2,01APR2018:11:21:17,2745,"14,853"
2015,CA,Los Angeles,90306,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90307,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90308,2,06MAY2016:01:08:29,1,
2015,CA,Los Angeles,90309,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90310,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90311,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90312,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90401,2,01APR2018:11:21:17,8637,"6,722"
2015,CA,Los Angeles,90402,2,01APR2018:11:21:17,2702,"12,250"
2015,CA,Los Angeles,90403,2,01APR2018:11:21:17,32748,"24,525"
2015,CA,Los Angeles,90404,2,01APR2018:11:21:17,95143,"21,360"
