,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
887,94303,Santa Clara,CA,2016,47743,23968,50.2,23775,49.8,30899,15272,63.1,13913,91866,47738,42899,89.9,4839,4.534002229654403,26.17670011148272,N,28.0,7B,Urban Villages,7.0,Ethnic Enclaves,3531.0,16775.0,3109.0,1812.0,9227,4400,8773,2759,270,3935,6964,73.95848606078378,351.36040885574846,65.11949395722934,37.953207800096344,57.78857633579792,5.655279307961377,82.42045954380747,145.86431518756677,193.26393397985046,92.16010724085207
888,94304,Santa Clara,CA,2016,3658,1826,49.9,1832,50.1,2110,1093,68.5,1845,105320,3486,3420,98.1,66,1.0649038461538465,2.3197115384615383,N,10.0,3A,Laptops and Lattes,3.0,Uptown Individuals,291.0,527.0,218.0,152.0,775,390,678,25953,2993,23562,52508,79.55166757791143,144.0677966101695,59.59540732640787,41.55276107162384,7094.860579551668,818.2066703116458,6441.224712957901,14354.291962821213,211.864406779661,106.61563696008749
889,94305,Santa Clara,CA,2016,14971,8507,56.8,6464,43.2,13291,2116,21.4,3240,53173,14971,14507,96.9,464,8.4969450101833,80.15071283095723,N,67.0,14C,Dorms to Diplomas,14.0,Scholars and Patriots,435.0,794.0,223.0,103.0,662,428,601,27703,3016,15466,46185,29.056175272192906,53.03586934740498,14.89546456482533,6.879967938013493,1850.444192104736,201.4561485538708,1033.0639235855988,3084.9642642442054,44.21882305791196,28.588604635628883
890,94306,Santa Clara,CA,2016,27259,13372,49.1,13887,50.9,17192,9045,67.1,10696,119157,27242,25835,94.8,1407,1.0539832285115305,1.77437106918239,N,6.0,2A,Urban Chic,2.0,Upscale Avenues,2493.0,3432.0,910.0,746.0,4536,2245,4189,8115,521,6365,15001,91.45603286987784,125.90337136358634,33.3834696797388,27.36710811108258,297.6998422539345,19.11295351993837,233.5008621005906,550.3136578744635,166.40375655746726,82.3581202538611
891,94401,San Mateo,CA,2016,36597,18071,49.4,18526,50.6,25016,12324,59.9,12692,76361,36429,31864,87.5,4565,3.2823936696340263,9.34297725024728,N,33.0,8A,City Lights,8.0,Middle Ground,2295.0,14583.0,1840.0,1382.0,8676,3621,8161,14191,2127,11200,27518,62.71005820149192,398.47528485941467,50.27734513757958,37.762658141377706,387.7640243735825,58.11951799327814,306.0360138809192,751.9195562477798,237.06861218132633,98.94253627346504
892,94402,San Mateo,CA,2016,24517,11936,48.7,12581,51.3,15074,8377,67.4,9356,128163,24350,23638,97.1,712,1.4885117493472584,3.0394255874673637,N,1.0,1A,Top Tier,1.0,Affluent Estates,2044.0,5272.0,1184.0,866.0,6141,2657,5752,7625,635,8179,16439,83.3707223559163,215.0344658808174,48.29302116898478,35.32242933474731,311.00868784924745,25.90039564383897,333.60525349757313,670.5143369906596,250.47925928947262,108.373781457764
893,94403,San Mateo,CA,2016,42252,20703,49.0,21549,51.0,28197,15764,66.3,15649,103612,42059,40037,95.2,2022,1.6271912738605376,4.185430463576159,N,9.0,2D,Enterprising Professionals,2.0,Upscale Avenues,2916.0,10885.0,2043.0,1445.0,10896,4450,10171,12634,1637,14759,29030,69.01448452144278,257.6209410205434,48.35274069866515,34.19956451765597,299.01543122219067,38.74372810754521,349.3089084540377,687.0680677837735,257.8812837262142,105.32045820316198
894,94404,San Mateo,CA,2016,36086,17906,49.6,18180,50.4,23425,13044,68.7,14564,126618,35997,35183,97.7,814,2.955981941309255,12.493002257336345,N,8.0,2C,Pacific Heights,2.0,Upscale Avenues,2308.0,5032.0,1411.0,871.0,6430,3032,6072,2765,743,2690,6198,63.958321786842546,139.4446599789392,39.10103641301336,24.136784348500804,76.62251288588372,20.58970237765338,74.54414454359032,171.7563598071274,178.18544587928835,84.02150418444826
895,94501,Alameda,CA,2016,63228,31107,49.2,32121,50.8,43217,22681,66.3,25507,76787,61789,56832,92.0,4957,3.3732466643859045,11.959288402326374,N,33.0,8A,City Lights,8.0,Middle Ground,3238.0,18028.0,2768.0,2725.0,20400,7472,19368,16582,2586,14170,33338,51.21148858100842,285.126842538116,43.77807300563041,43.09799455937243,262.25722781046375,40.89960144239894,224.10957170873664,527.2664009615993,322.641867527045,118.1754918706902
896,94502,Alameda,CA,2016,14181,6601,46.5,7580,53.5,8940,4894,70.8,5171,115765,14105,13534,96.0,571,1.882142857142857,5.342857142857143,N,8.0,2C,Pacific Heights,1.0,Affluent Estates,731.0,2190.0,468.0,440.0,2831,1282,2685,577,67,587,1231,51.547845709047316,154.43198646075734,33.00190395599746,31.027431069741205,40.6882448346379,4.7246315492560464,41.39341372258656,86.8062901064805,199.6333121782667,90.40265143501868
897,94503,Napa,CA,2016,20366,10130,49.7,10236,50.3,13410,6176,61.7,5694,83627,20334,19054,93.7,1280,4.440691280439906,16.784760408483898,N,7.0,2B,Pleasantville,2.0,Upscale Avenues,1079.0,6577.0,773.0,787.0,6595,2365,6297,1331,102,1291,2724,52.98045762545419,322.9401944417166,37.95541588922714,38.64283609938132,65.3540214082294,5.0083472454090145,63.38996366493174,133.75233231857018,323.8240204262005,116.12491407247373
898,94505,Contra Costa,CA,2016,14820,7192,48.5,7628,51.5,9425,4864,65.3,5182,106068,14820,14052,94.8,768,4.146085997794929,13.245865490628445,N,5.0,1E,Exurbanites,1.0,Affluent Estates,803.0,3586.0,603.0,490.0,6375,2106,6180,563,45,199,807,54.18353576248313,241.97031039136303,40.68825910931174,33.063427800269906,37.989203778677464,3.0364372469635628,13.427800269905534,54.45344129554656,430.16194331983803,142.10526315789474
