GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US91901,91901,ZCTA5 91901,6516,173,81603,13372,92.1,2.0,85608,15514,0.6,0.5,127065,72040,2.2,0.9,70000,35646,1.5,1.1,81354,13821,0.3,0.5,-,**,1.7,1.2,-,**,1.6,0.8,51907,9602,13.5,3.9,47237,13468,81.0,3.7,92435,8565,1.7,1.2,38750,1844,24.5,2.9,95833,32529,45.0,3.2,102288,7823,28.9,2.9,58431,11521,4726,242,96536,7395,41.6,4.1,94107,26691,58.4,4.1,99075,8505,79.4,4.7,109901,10264,14.9,4.2,46573,21588,5.8,2.4,43971,21357,1790,247,40714,3921,60.6,8.2,35938,4397,51.2,8.2,32731,13816,9.3,4.7,-,**,39.4,8.2,52120,45241,33.0,8.3,45592,14327,6.4,3.6,174083,76797,31.6,(X),(X),(X),33.5,(X),(X),(X),26.4,(X),(X),(X)
8600000US91902,91902,ZCTA5 91902,6001,242,90184,8400,77.9,3.9,85392,8743,3.0,1.9,116042,99070,0.4,0.5,-,**,11.1,2.5,112692,29094,0.6,0.9,-,**,3.8,1.6,90357,57907,3.1,1.8,187813,127361,36.2,4.3,79131,11785,47.9,3.7,93594,12885,0.4,0.5,-,**,28.6,3.7,80517,14868,40.2,3.9,110660,19361,30.8,3.1,79286,11570,4804,261,103245,11144,39.6,4.4,89688,17653,60.4,4.4,110722,10820,84.8,3.2,110449,8185,10.8,3.0,83780,14939,4.4,2.1,83007,27681,1197,213,42219,8134,53.1,10.0,38092,5235,44.4,9.6,34205,11582,8.8,4.7,67109,62930,46.9,10.0,59766,12235,30.4,11.1,60392,12672,16.5,8.0,55368,54425,35.2,(X),(X),(X),35.0,(X),(X),(X),35.9,(X),(X),(X)
8600000US91905,91905,ZCTA5 91905,537,193,31051,18079,69.1,19.8,40072,23689,10.4,15.6,-,**,15.3,13.2,72917,58095,0.0,5.9,-,**,1.9,2.9,-,**,0.0,5.9,-,**,3.4,5.7,-,**,11.7,13.4,-,**,57.4,20.3,41490,33870,0.0,5.9,-,**,16.2,13.7,73482,27726,37.8,21.6,29743,24152,46.0,22.5,-,**,350,156,51154,32301,26.6,21.7,73065,72771,73.4,21.7,42332,36787,72.0,22.0,41759,33153,24.0,21.7,63302,51688,4.0,6.1,-,**,187,129,14653,13631,51.3,37.8,11983,3184,51.3,37.8,11983,3184,0.0,15.9,-,**,48.7,37.8,21138,8908,48.7,37.8,21138,8908,0.0,15.9,-,**,17.3,(X),(X),(X),21.1,(X),(X),(X),9.1,(X),(X),(X)
8600000US91906,91906,ZCTA5 91906,1236,200,49000,13399,89.9,3.9,49208,14422,2.4,2.5,-,**,6.1,1.9,27500,6302,1.1,1.8,-,**,0.0,2.6,-,**,0.1,0.2,-,**,0.3,0.4,-,**,18.9,9.1,48393,30022,72.4,8.8,53603,21860,3.0,4.6,-,**,25.6,9.5,39013,13393,50.4,10.1,68694,17800,21.0,6.9,31439,11883,893,209,60223,11609,28.2,12.3,39375,34138,71.8,12.3,68194,17423,66.5,12.9,69674,17893,19.9,10.6,-,**,13.5,9.7,52039,19348,343,116,24826,5380,39.7,21.2,31167,21702,27.1,18.5,24007,15401,12.5,11.1,-,**,60.3,21.2,19592,11714,53.9,21.8,19049,10394,6.4,8.7,28750,447,27.8,(X),(X),(X),28.4,(X),(X),(X),25.9,(X),(X),(X)
8600000US91910,91910,ZCTA5 91910,25272,446,55492,2743,76.2,1.7,53604,2244,4.1,0.8,55029,11478,0.3,0.2,38750,9632,9.2,1.0,67355,12088,0.6,0.3,67404,48189,6.7,1.0,54931,7909,2.8,0.7,70313,14803,52.7,1.6,48294,3247,31.9,1.5,63599,4747,2.9,0.8,31903,5881,32.3,2.0,59346,3053,39.8,1.7,65659,5097,24.9,1.4,40102,3307,17999,578,66330,3088,45.2,2.1,57965,3938,54.8,2.1,74196,3883,66.2,2.2,83422,3681,22.2,2.1,35541,2447,11.5,1.7,54911,13819,7273,464,34266,2421,53.1,3.4,29375,4243,45.0,3.1,27444,3589,8.1,2.0,45089,5596,46.9,3.4,37810,2757,37.2,3.3,34419,5328,9.7,2.3,63429,22106,39.1,(X),(X),(X),40.0,(X),(X),(X),35.1,(X),(X),(X)
8600000US91911,91911,ZCTA5 91911,24309,646,51383,1874,76.2,1.8,49701,2758,4.3,0.9,46150,23560,0.3,0.2,99375,58000,8.1,1.5,84556,23872,0.6,0.5,-,**,8.4,1.1,52359,4455,2.1,0.5,68125,27536,64.8,1.8,47656,3110,21.8,1.5,57848,3855,3.1,0.8,38276,5615,35.3,2.1,54083,4986,37.5,1.9,62606,4891,24.1,1.5,35141,2658,18874,532,55007,3226,46.7,2.4,50638,3103,53.3,2.4,60220,5351,64.7,2.5,67199,4033,26.2,2.2,28643,3322,9.1,1.5,44667,4031,5435,508,32838,3839,56.9,6.0,23441,5485,49.3,6.0,17976,4688,7.6,2.6,68816,19275,43.1,6.0,50071,11714,33.3,6.0,46069,12803,9.8,2.4,59219,11939,43.2,(X),(X),(X),43.1,(X),(X),(X),38.4,(X),(X),(X)
8600000US91913,91913,ZCTA5 91913,14051,570,83693,6204,58.3,3.6,70139,12964,7.9,2.4,113852,25421,0.1,0.2,-,**,26.1,3.5,106286,12160,0.1,0.2,-,**,4.1,1.5,77500,12747,3.3,1.4,76105,16437,39.7,3.7,62567,10316,24.0,3.0,80240,6268,2.5,1.4,61818,39192,46.7,3.9,79068,13589,39.1,3.3,93528,10534,11.6,2.1,63570,18672,11376,655,90850,6093,59.5,4.5,83919,10870,40.5,4.5,94118,6792,77.6,4.5,98270,7007,17.9,4.6,55906,21435,4.6,2.5,74615,33200,2675,524,31890,17478,50.9,9.7,-,**,43.4,9.7,22416,22329,7.5,4.4,108158,84913,49.1,9.7,32455,22238,38.5,10.2,30316,10653,10.6,7.2,-,**,35.2,(X),(X),(X),36.1,(X),(X),(X),31.5,(X),(X),(X)
8600000US91914,91914,ZCTA5 91914,4582,205,124578,7047,64.2,4.8,126532,17843,7.0,2.3,113618,110076,0.5,0.7,-,**,20.4,3.6,145431,43383,0.5,0.8,-,**,2.9,1.9,122330,29168,4.5,2.6,118622,43181,43.5,4.8,122670,14877,24.8,3.9,135691,17287,0.4,0.7,-,**,41.2,4.1,125649,27433,46.2,3.8,140346,9236,12.1,2.9,70083,21157,3996,247,129703,17210,61.6,5.0,145542,14851,38.4,5.0,109602,19870,84.2,4.9,140667,8622,11.7,4.2,88728,17506,4.2,3.0,-,**,586,162,37738,22656,70.8,14.1,33419,7662,54.8,13.9,27428,12999,16.0,10.2,71042,56195,29.2,14.1,79271,32433,22.4,12.5,78438,35562,6.8,7.9,-,**,32.2,(X),(X),(X),32.2,(X),(X),(X),27.5,(X),(X),(X)
8600000US91915,91915,ZCTA5 91915,7993,256,104170,6753,61.4,4.0,103202,7139,9.3,2.6,129837,73112,0.8,0.8,103802,54505,20.8,3.2,102241,21405,0.0,0.4,-,**,4.3,2.1,91793,27238,3.3,1.7,142679,118975,44.2,3.6,94162,15030,24.4,3.8,113438,15289,1.9,1.7,53702,48070,52.1,4.1,91753,14206,39.4,3.8,115357,12955,6.6,1.9,101567,7969,7292,329,102684,6197,62.8,5.2,91658,16401,37.2,5.2,107936,5930,82.4,3.8,109437,4319,15.6,3.6,53042,18744,2.0,1.2,75893,23659,701,255,85673,33593,43.4,19.9,-,**,40.9,19.3,43173,41369,2.4,3.8,-,**,56.6,19.9,108701,30807,38.7,17.1,87019,53855,18.0,13.7,-,**,28.0,(X),(X),(X),26.2,(X),(X),(X),19.4,(X),(X),(X)
8600000US91916,91916,ZCTA5 91916,587,89,84076,24159,97.8,2.4,84783,28032,0.0,5.4,-,**,2.2,2.4,-,**,0.0,5.4,-,**,0.0,5.4,-,**,0.0,5.4,-,**,0.0,5.4,-,**,8.5,5.0,-,**,90.5,5.1,84402,25369,0.0,5.4,-,**,15.8,7.2,68304,11238,55.4,12.8,104280,8668,28.8,11.2,76553,6681,421,90,102765,24501,19.7,8.2,68839,16383,80.3,8.2,104773,8866,84.8,8.6,104508,12761,11.9,7.4,-,**,3.3,3.5,-,**,166,67,49722,27514,28.9,18.0,-,**,20.5,14.3,-,**,8.4,12.7,-,**,71.1,18.0,60100,44451,66.3,20.6,60500,50048,4.8,8.7,-,**,38.0,(X),(X),(X),41.3,(X),(X),(X),29.5,(X),(X),(X)
