xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population
2016,CA,Los Angeles,90221,01APR2018:11:21:17,10784,1465,2564,5380,48329,105648,549425,10489,52.4,85,34627,551,157,4224,104,40.6,39614,1067,37.1,14,5,2,259,1099,9891,6,21,0,"53,704"
2016,CA,Los Angeles,90222,01APR2018:11:21:17,7504,93,1489,3356,3386,52483,402500,7287,55.2,15,4444,63,117,120,3,40,5318,145,36.7,5,2,1,191,22,1691,2,6,0,"31,869"
2016,CA,Los Angeles,90223,10SEP2017:10:31:20,54,0,0,21,0,0,3717,54,68.8,0,,0,2,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90224,10SEP2017:10:31:20,168,0,0,76,0,0,9655,168,57.5,0,,0,3,0,0,,0,0,,0,0,0,9,0,0,0,0,0,
2016,CA,Los Angeles,90230,01APR2018:11:21:17,7057,6457,6768,3266,472140,477724,380258,6726,56.5,310,465056,3662,109,22943,370,62,519286,7182,72.3,68,33,1,179,2168,10843,26,613,5,"31,766"
2016,CA,Los Angeles,90231,10SEP2017:10:31:20,142,0,0,70,0,0,7477,142,52.7,0,,0,5,0,0,,0,0,,1,0,0,1,94,0,0,0,0,
2016,CA,Los Angeles,90232,01APR2018:11:21:17,3533,7502,3742,1612,384111,281013,202254,3340,60.6,721,303507,4807,60,47554,893,53.3,472096,8989,52.5,67,10,1,114,3310,7077,36,429,6,"15,149"
2016,CA,Los Angeles,90233,10SEP2017:10:31:20,4,0,0,4,0,0,100,4,25,0,,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90239,10SEP2017:10:31:20,46,1,0,25,18,0,2323,46,50.5,0,20,0,0,0,0,,0,0,,1,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90240,01APR2018:11:21:17,5453,10327,4760,2419,852104,267505,291429,5170,56.4,735,470967,4944,60,45201,587,77,798906,9059,88.2,58,22,2,137,4718,3392,31,640,17,"25,876"
2016,CA,Los Angeles,90241,01APR2018:11:21:17,9580,24176,10622,4406,1587271,805191,552877,9137,60.5,1639,861229,10123,126,107122,1575,68,1466164,20525,71.4,140,40,4,290,40612,12709,70,1135,24,"42,399"
2016,CA,Los Angeles,90242,01APR2018:11:21:17,9209,45750,53863,4146,2464534,2867319,523064,8761,59.7,1181,1279081,19102,126,99452,1847,53.8,2296589,36313,63.2,564,272,2,314,14328,4905,179,1706,33,"43,497"
2016,CA,Los Angeles,90245,01APR2018:11:21:17,4210,1481,5461,1827,88313,377245,243230,4001,60.8,146,65224,821,63,5636,107,52.7,98477,1645,59.9,46,20,0,119,46,7894,14,129,5,"16,654"
