,Zip,County,State,year,2016_Census_Pop_Est,AS Only,ED Only,Inpatient,Inpatient from ED,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000",Rx_count_Dis,C2,C3,C4,C2-C4,Pct_C2,Pct_C2-C4,"C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Tot Rx per 1,000",ADI_STATERNK,ADI_NATRANK
0,90001.0,Los Angeles,CA,2016.0,57942.0,1798.0,24554.0,3628.0,3286.0,0.031031031031031032,0.42376859618238927,0.06261433847640745,0.056711884298091195,7653.0,843.0,201.0,1710.0,2754.0,0.11015288122304978,0.35985887887103096,0.014549031790411102,0.003468986227606917,0.029512270891581236,0.047530288909599254,0.13208035621828726,8.00713800135962,45.794017675050995
1,90002.0,Los Angeles,CA,2016.0,51826.0,1661.0,25168.0,3421.0,3314.0,0.03204955041870876,0.48562497588083203,0.06600933894184387,0.06394473816231236,6483.0,357.0,767.0,1059.0,2183.0,0.05506709856547894,0.336726824001234,0.006888434376567746,0.014799521475707175,0.020433759117045498,0.04212171496932042,0.1250916528383437,8.125497287522604,50.51754068716094
2,90003.0,Los Angeles,CA,2016.0,70208.0,2111.0,32061.0,4610.0,4648.0,0.030067798541476756,0.4566573609845032,0.06566203281677302,0.06620328167730173,484.0,1329.0,259.0,2440.0,4028.0,2.7458677685950414,8.322314049586776,0.01892946672743847,0.003689038286235187,0.0347538742023701,0.05737237921604375,0.006893801276207839,7.97254004576659,46.90675057208239
3,90004.0,Los Angeles,CA,2016.0,63095.0,2115.0,15820.0,2751.0,2639.0,0.033520881210872495,0.25073302163404393,0.04360091924875188,0.04182581821063476,3318.0,3582.0,1707.0,5002.0,10291.0,1.0795660036166366,3.101567209162146,0.05677153498692448,0.027054441714874394,0.07927728029162374,0.16310325699342262,0.05258736825421983,4.23801870251315,28.200175336060788
4,90005.0,Los Angeles,CA,2016.0,39338.0,1107.0,8650.0,1579.0,1488.0,0.02814072906604301,0.219889165692206,0.04013930550612639,0.03782602064161879,1579.0,439.0,1403.0,1434.0,3276.0,0.2780240658644712,2.0747308423052564,0.011159692917789414,0.03566526005389191,0.0364533021505923,0.08327825512227363,0.04013930550612639,7.225922592259227,57.77587758775878
5,90006.0,Los Angeles,CA,2016.0,61230.0,1894.0,16855.0,3081.0,2934.0,0.030932549403886983,0.27527355871304915,0.05031847133757962,0.04791768740813327,7401.0,3317.0,1874.0,9548.0,14739.0,0.44818267801648426,1.991487636805837,0.05417279111546627,0.030605912134574555,0.1559366323697534,0.24071533561979422,0.12087212150906418,7.280192307692308,52.82423076923077
6,90007.0,Los Angeles,CA,2016.0,41979.0,1123.0,11662.0,1618.0,1785.0,0.02675147097358203,0.27780556945139234,0.03854308106434169,0.04252126063031516,2332.0,1311.0,1234.0,3777.0,6322.0,0.5621783876500858,2.7109777015437393,0.031229900664618022,0.029395650206055408,0.08997355820767526,0.1505991090783487,0.055551585316467755,8.546607482561827,71.90509406045234
7,90008.0,Los Angeles,CA,2016.0,32060.0,1709.0,15038.0,2145.0,2352.0,0.05330630068621335,0.46905801621958826,0.06690580162195883,0.07336244541484715,4439.0,4378.0,699.0,7294.0,12371.0,0.9862581662536607,2.786888938950214,0.1365564566437929,0.021802869619463507,0.2275109170305677,0.3858702432938241,0.13845913911416094,6.761102603369067,49.13450740173558
8,90010.0,Los Angeles,CA,2016.0,3524.0,99.0,910.0,168.0,139.0,0.028093076049943246,0.2582292849035187,0.04767309875141884,0.03944381384790011,1648.0,2890.0,1085.0,2156.0,6131.0,1.7536407766990292,3.720266990291262,0.8200908059023837,0.30788876276958005,0.6118047673098751,1.7397843359818388,0.4676503972758229,6.9340909090909095,57.69090909090909
9,90011.0,Los Angeles,CA,2016.0,104762.0,2924.0,37729.0,6046.0,5520.0,0.02791088371737844,0.36014012714533894,0.05771176571657662,0.05269086119012619,2624.0,1334.0,691.0,3723.0,5748.0,0.5083841463414634,2.1905487804878048,0.012733624787613829,0.00659590309463355,0.03553769496573185,0.05486722284797923,0.025047249957045492,7.866388930218718,42.85121261717006
10,90012.0,Los Angeles,CA,2016.0,32543.0,1000.0,7423.0,1626.0,1930.0,0.03072857450142888,0.22809820852410656,0.04996466213932336,0.05930614878775774,5704.0,6656.0,2870.0,13644.0,23170.0,1.1669004207573632,4.062061711079944,0.20452939188151062,0.08819100881910089,0.4192606704974956,0.7119810711981072,0.1752757889561503,7.638192267502612,58.490856844305114
11,90013.0,Los Angeles,CA,2016.0,11668.0,578.0,9614.0,1138.0,1941.0,0.04953719574905725,0.8239629756599246,0.09753171066163867,0.16635241686664382,2575.0,740.0,328.0,2088.0,3156.0,0.287378640776699,1.225631067961165,0.06342132327733974,0.02811107302022626,0.17895097703119645,0.27048337332876243,0.2206890641069592,7.689364957918898,63.934200459066574
12,90014.0,Los Angeles,CA,2016.0,7191.0,381.0,4044.0,572.0,893.0,0.052982895285773886,0.5623696287025448,0.07954387428730357,0.12418300653594772,1115.0,563.0,43.0,445.0,1051.0,0.5049327354260089,0.9426008968609866,0.07829230983173412,0.005979696843276317,0.061882909192045615,0.14615491586705603,0.15505492977332777,5.686553873552983,31.8686553873553
13,90015.0,Los Angeles,CA,2016.0,19378.0,601.0,6927.0,1013.0,1069.0,0.03101455258540613,0.3574672308803798,0.052275776653937456,0.05516565177004851,4417.0,11950.0,3947.0,9127.0,25024.0,2.7054561919855105,5.665383744623047,0.6166787078129838,0.2036845907730416,0.47099803901331405,1.2913613375993394,0.22793889978325937,6.511836085140242,47.34453948677143
